Date,AAPL,IBM
9/9/2015,24.7557,90.2633
10/9/2015,25.2996,90.9789
11/9/2015,25.6682,91.707
14/9/2015,25.9154,90.6366
15/9/2015,26.1334,91.8065
16/9/2015,26.1626,92.3542
17/9/2015,25.603,92.1861
18/9/2015,25.4973,89.9272
21/9/2015,25.8929,91.1531
22/9/2015,25.4861,89.8774
23/9/2015,25.6929,89.3983
24/9/2015,25.8457,89.865
25/9/2015,25.7805,90.4935
28/9/2015,25.2704,88.6889
29/9/2015,24.5107,88.6578
30/9/2015,24.7894,90.2135
1/10/2015,24.6276,89.3547
2/10/2015,24.8074,89.9708
5/10/2015,24.8973,92.7462
6/10/2015,25.0164,92.5844
7/10/2015,24.8973,93.3996
8/10/2015,24.6096,94.7624
9/10/2015,25.1984,94.8309
12/10/2015,25.0816,94.053
13/10/2015,25.1243,93.1071
14/10/2015,24.7692,93.3498
15/10/2015,25.14,93.3996
16/10/2015,24.9557,93.5863
19/10/2015,25.1108,92.8582
20/10/2015,25.5693,87.519
21/10/2015,25.567,87.6932
22/10/2015,25.9581,89.6659
23/10/2015,26.7627,90.033
26/10/2015,25.9086,89.3983
27/10/2015,25.7446,85.789
28/10/2015,26.8054,87.6372
29/10/2015,27.0885,87.463
30/10/2015,26.8571,87.1705
2/11/2015,27.2346,87.3509
3/11/2015,27.547,88.2906
4/11/2015,27.4189,88.135
5/11/2015,27.2925,87.0522
6/11/2015,27.3241,86.8387
9/11/2015,27.2135,84.992
10/11/2015,26.3558,85.0925
11/11/2015,26.2069,84.8098
12/11/2015,26.1188,83.5661
13/11/2015,25.356,82.7558
16/11/2015,25.7713,83.987
17/11/2015,25.6607,84.0561
18/11/2015,26.4732,85.3123
19/11/2015,26.8095,85.8902
20/11/2015,26.9269,86.9957
23/11/2015,26.577,86.9706
24/11/2015,26.8321,87.0585
25/11/2015,26.6402,86.6817
27/11/2015,26.5906,86.9706
30/11/2015,26.7012,87.5736
1/12/2015,26.4845,88.7419
2/12/2015,26.2452,87.7495
3/12/2015,26.0015,87.2595
4/12/2015,26.8659,88.208
